"
  Focus Dog: Study timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu96choCHnHiTR4ftv8JxOQVNt4Nf6JubhE3k1341g=s32-rw","Shei Wong","September 16, 2022","I've tried a lot of pomodoro apps but so far this one feels like it'll stick to me this time. I usually hate microtransactions but if it helps support a single (?) dev then I have no issues doing a one-time payment for the Pro+ version. The statistics and tags feature defintely helps keep my ADHD in check but I also hope in the near future that we get to join study groups. In the meantime, I'll be here appreciating the cute animations and overall aesthetic of this app.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9QJmUKl7ibO5y1HaQEMcT1OjEg0aWjeagq-2QrK78=s32-rw","Rene Haasbroek","November 4, 2022","Great app for students who want to be more precise in their studying. This app gives you a goal to work towards and encourages you. There are no ads to interrupt you. Highly recommended this app!","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2uguVrBSXuy-yB3uFwc0b_gvGN7FdiANvNMHqu=s32-rw-mo","sunil rani","July 25, 2022","This is a great app... But I think there should be an option for subtags.... Like what I studied under study tag... Or what I did under work tag... This would help to track the time I give for some specific activities (like studying biology or watering plants).","15 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-OujQ_GjsF733-yR18i2HZsTsdHz2rfokL0d-Nsfk=s32-rw","Suhit Agarwal","May 22, 2021","I love the app aesthetics, the leaderboard and everything else you've done with it. I just have one suggestion: the icons on the home page could be changed a bit to make stuff clearer. For example the button that looks like a home button takes you to the store. Also, betting something against friends would make for a niche minigame thing and urge people to be more productive. I think you should add that, if you can, if not that's fine too. Continue doing what you're doing! It's great!","19 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-d7wcSVGzYyTcBluKvvtlk_hJbi9Zz_9k_NIhFIUw=s32-rw","Gabriel Sanchez","December 13, 2021","The theme is great, and it really does get you coming back again. However I do notice some lack of attention to detail, like the notifications with spelling errors, and general clutterness of the app menus. Some common features are locked behind a paywall, but I wouldn't mind seeing ads in the app if it means having these unlocked.","19 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_7J3bzM7T72vRDHq4iPyOnWAzGNViOdR9MhpKSn5w=s32-rw","ꨄ","October 19, 2020","i don't expect much from this but let's give it a try... edit: few minutes in the app and after a session i get hit with the premium ads, im not able to allow the automatic stop option because it requires you to get the premium option and you're able to roam through your phone while the study section is happening. Though I will say that the game concept is very cute and is attractive enough to get my attention.","28 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9juxqDloUbusmYlQHWcF0VioSmo_5mdWOUyFmWTA=s32-rw","Melody Night","August 30, 2021","The dog is adorable, but the ads for the premium version are way over done. Not worth it. I've been using a timer with a rabbit instead, it's less advertisement heavy and I've been loving it. Update: it was four stars months ago, when I tried it for a day, before the pop-up ads after every click. I reinstalled it recently and gave it a longer try. Since you apparently want an explanation for not liking your stopwatch app. My criticism is valid and still stands.","20 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8gmjiRyZMVKEX_9Zo_oZpzL3WaBNC4ajPZdIxAVQ=s32-rw","Alex","August 18, 2021","This app is super helpful and keeps me motivated when I need to study! But 1 problem is how you need pro to do the smallest things! And 2, sometimes I can't hear the sound effects when I tap buttons but I really like the sounds so maybe fix that. Overall I really like it already recommended this to my friends and family. Something that could be added could be that you can choose between different dogs (without pro)","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1yGmqIx7WlDs7gXi87gE8LelBL8kOWiHI3E08R=s32-rw-mo","Apurba Karmakar","November 6, 2022","The app is really good. All the features and all the things are really well. But it needs some modifications.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-1EiRXMOLhAuzurbfR54bOocal-pwNY9nNm2F9LA=s32-rw","Tanya Maxwell","October 16, 2022","My opinion on this app is that very very nice to use and it's really cute but I think that when you feed the dog that you shouldn't feed with all the doughnuts what's the timers done it just stops so it doesn't keep timing by accident the only one that is really good game","",""
