"
  HabitNow Daily Routine Planner","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu8DPeRJizCoHqtTf0zOhTB59L0gQAlrBpKG-89Q7g=s32-rw","Augustin A","Show review history","November 4, 2022","First impression is fantastic.. By default the theme is dark but that doesn't matter. The features and the available options are perfect. You could have asked for a sign up so that multiple device sync wouldn't be a problem. That's the only thing i could find as an issue. Do let me know if there's a solution other than backup.. after two days of use, notification is not proper be it just a notification or alarm, it is not working. No point in creating habits to track.","17 people found this review helpful","HabitNow","November 2, 2022","Hi Augustin: Your One Plus is blocking the reminders. Please, contact us at habitnow.apps@gmail.com and we'll help you to configure them 🙂"
"https://play-lh.googleusercontent.com/a-/ACNPEu-LX4uo_MLN85tTfcFnWpuEvFE5BJ4IWywY6gSp=s32-rw","Siddharth Sharma","","November 5, 2022","This app is a masterpiece. I've been using a journal before, but with this app, it is more motivating when you see graphs and plots of your improvement. This has no ads and has simplest interface. I'm a premium user and it's worth every penny I gave. I would encourage everyone to go for it without hesitation. This app brought more productivity and consistency to me may it be, to keep up with a good habit or to quit a bad habit. Thanks for building this phenomenal app.","10 people found this review helpful","HabitNow","November 5, 2022","Thank you very much for your awesome review! We're working on new useful features 🙂"
"https://play-lh.googleusercontent.com/a-/ACNPEu9hsExquIiCIBosVu06rm34ILhrbd1IW0bYvgkLcg=s32-rw","chaitanya tank","","August 29, 2022","Thanks to the devlopers, very nice app and beautiful UI/UX. However is there any option or feature that I can put a link (of any local file or a from internet) that can be open by touching it. Currently I couldn't find anything like this. It will be really handy feature to have the ability to set a reminder to visit a file and open on reminder.","30 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80JcQFzzjawTaCoqi5SPh77wEYS9FfGgQEztk13Hk=s32-rw","Rajesh Agrawal","","August 23, 2022","If the free version is so good, I am sure the paid version would be much better For almost 32 years I've used a manual planner. Every year. Everyday This app gives everything that I always felt was missing in those manual planners ... and more. Much more !! I've tried many other apps. But this is something else. Intutive but non-intrusive I want a super efficient secy and not a nosey bossy assistant","33 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_yX7FvWcfBSC3yYdezHJ3Ogz3wmazuTCDoKbQpew=s32-rw","Kashif Faraz","","December 16, 2020","Does the best balance between tasks and habits! Very light-weight, easy to use. Best statistics, habit score features. Most task manager/habit tracker apps have way too many features but don't even fulfill the basic requirements. Moreover, they are full of ads/disabled features and require a subscription, which is totally worthless. This app can be used completely for free. But once you start using, you would be more than willing to do the one time purchase, which itself is nominal.","47 people found this review helpful","HabitNow","December 19, 2020","Thank you very much for your review Kashif! We are happy to help you with your routine. If you have any suggestions or doubts about the app contact us to habitnow.apps@gmail.com and we'll be glad to help you! We'll add many useful features soon 🙂"
"https://play-lh.googleusercontent.com/a-/ACNPEu94heEbnVNQkFqRmS1i7uz8JREUM6JYcOYJJsm7=s32-rw","Mohamed Hafeez","Show review history","August 13, 2021","Everything I was ever looking for in a habit tracking application. Simple, elegant and intuitive. I would have paid the premium price just for the basic application and I would change nothing about it. I hope the UI/UX is not altered as well as the app not bloated in the name of providing features. Grateful and Great Job everyone who was a part of this :)","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-KaMTegnBjeei6WmW8FwBVYgT9Bc8OPpUPoHG8=s32-rw","Jackson Jeffery","","April 6, 2022","Really liked the UI experience, so far so good. Would be helpful if below features are available. 1. Ability to swipe between days to check the tasks. Now I have to click on each day from the top bar. 2. Include Analysis for recurring tasks also. The one available for habits is working great! 3. Option to input text in habits/tasks to add key points for easy tracking. 4. The alarm is working good but for some reason when my mobile is locked it's not popping up. I'd have to unlock to dismiss.","78 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8vK96splqiDkJisf1DPHFuySua6egnW5DaJ-iapg=s32-rw","Anonymous","Show review history","June 7, 2020","I have 3 issues: 1) Habit gets ticked even if we touch it by accident. It would be better if there was option to press for some time in order to get habit ticked. 2) another feature required. If we have 10 habits to get done today, & we complete 7/10. Then it would show today's productivity as 70%. 3) there should be a feature to decrease the font size of habit. -- I would like to know if you have some product with this feature, then I am ready to purchase. If you could answer me this. Thanks","2 people found this review helpful","HabitNow","June 7, 2020","Hi Patron: We are working to add many improvements very soon. In the next update, the app fonts will be slightly reduced. We'll also work on new ways to display daily statistics soon! Best regards,
HabitNow Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu-MumioMR_U0C_tSFCD8KHZ9Ips9FofUX5v6SuQ=s32-rw","Utkarsh Joshi","Show review history","March 3, 2022","The app is good. Suggestions: 1. Once we're in the calendar, we see 9 days. Being able to swipe to the left or right would be better instead of having to click on the date. 2. The widget is not functioning properly. Sometimes it keeps showing dates which have passed long back. It also doesn't mark items done sometimes. More suggestions later.","67 people found this review helpful","HabitNow","March 3, 2022","Hi: Thank you for your feedback! The widget issue is happening because the device's battery optimizer is blocking the app background process. If you exclude HabitNow from your OnePlus battery optimizer, the issue shouldn't happen anymore. Contact us to habtinow.apps@gmail.com for any questions! 🙂"
"https://play-lh.googleusercontent.com/a/ALm5wu3nqigrAOA6Q34dEAaxraHO77ZPLwXd0ymiv6Of=s32-rw-mo","Sjkr Ac","Show review history","March 5, 2022","It is very robust and covers all the ways I wanted to track anything. It lets your track habits certain times a month, allows daily counters for habits, and also has recurring task lists with checkboxes, even though the last one is a premium feature. Only complain is that the daily counter does not allow you to select an average number for habit tracker, only exact number or ""at least"" a certain number of times...","16 people found this review helpful","","",""
