"
  Glan: Productivity focus timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_I0oibOEzIptzGWVO739r55XJdhdCZQ8w1WwFNTA=s32-rw","Anushka","June 10, 2021","It's an nice app overall. I liked it's design and how cute it is. But there are somethings that need to be changed. First of all, if you start an 60m, and complete the task within 55m and you end the session, then all your progress goes away and it isn't tracked. You have to complete the pomodoro. Secondly, when you complete the task, you cannot edit it. If you click on done by mistake, you cannot undo it. You will have to redo it. That's all. Please make the changes asap","91 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu96HRBsqL1g0FLgblaqNgJWc0g9mYnZjyKdKp80GQ=s32-rw","Hayasaka Misaki","April 29, 2022","This app is really good and it helps me in being organised. It has a really aesthetic feel to it, which I really love. I'm looking for the dark mode and it does not seem to be available in this app. Also, the screen doesn't stay awake while the timer is ongoing. Lastly, you can't stop the timer midway and if you do, this progress is not counted. If these 3 problems of mine are solved, this app is going to be super perfect. 🪐","18 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9HMoIO3lV1i38brFCfECNLVBpYkCcGsrh_h9YZsLw=s32-rw","Lawman.exe","June 16, 2022","The app is almost perfect, I love the aesthetic and the interface. It looks really calming and I love the audio. Although I wish it has repeating task option so that I don't have to write them down every single day. One more problem is that it won't save your stats if you stop halfway through but that's not a really big issue for me, it is a little annoying sometimes when I finish my task early and it doesn't save. I see a lot of potential on this app, so I will keep on using it for now.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 10, 2020","I love it! I really do, from the aesthetic feel, the automatic breaks and the todo list, it's a really good app. But I'm only giving three stars for now because there is much room for imrpovement. We should be able to edit/delete a task, and it would also be nice to be able to set a goal time for each task. It would also be nice to see a history of completed tasks because that can give a sense of accomplishment","40 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_SLjGOwcEsqc-MpVDSkj5cboIfH2R43-b2V4YLlQ=s32-rw","Andre Clemente","December 5, 2020","App has a really cool function, super helpful when studying. It glitches sometimes. I don't that if I skip the break multiple times, the next time the work period cycles, I don't get a break. Sometimes, the app does not notify me when the work period is over, even if it is running. I also wish there was the option to add tasks while the timer is running, sometimes tasks pop up throughout the day and I don't want to restart the timer everytime I want to add a new task.","24 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu99XyBofKEyIl8k4YUHhRCiR0fpvasCslqkhHQKYX0=s32-rw","Blues Clues","August 15, 2020","This app is amazing!!! The aesthetic is great, the clock doesn't fluctuate when I leave the app temporarily, it gives you steps to focus, there are sounds on it that makes it easier to concentrate. Best app for productivity out there and I have had my fair share of failures. Keep it up. And the ads are not overbearing. I would like to however make a suggestion to have a dark mode and to also have something to distract people less while on their phone.","38 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9nQ89FEoSrx7sLVcKaNN3iIxrdvREp9SLh1XOg0ZA=s32-rw","AmberLee","July 28, 2020","This is a really nice productivity app! A couple options that might be nice is a way to repeat tasks daily or weekly or something, & also the option to stop the timer part way through. The lowest setting is 20 minutes, but sometimes I finish the task in less than 20 minutes. But if you back out or stop the timer, it just resets & you lose that progress & it's not recorded in stats. Also an option to add time manually if I forgot to start the timer would be really nice.","28 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8wICFXP2_KrmttvrGIu4rOgSHyxzOnzObNzzCxW-s=s32-rw","Langdon Foss","May 27, 2020","Beautiful interface, doesn't try to do too much. This would be the pomodoro tracker I was looking for *if* I could buy an ad-free version. I'm about to spend $9 for the full version of a competitor that I would happily pay for an ad-free experience. Update: increasing score to 4 stars for a prompt response from an interested development team promising a product that would address my needs","15 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MjkF3SJucO09jbX60l6rQnvldzqWbtsGATLQd=s32-rw","Chateau Baylor","April 8, 2021","This app is definitely one of the better ones, plus, it's so aesthetic! I love that there's a built in timer. Could you make it so that swiping right marks it as complete and left as remove instead of both directions being remove? Also, a calendar would be very useful, as you can then plan what you need to do on what days.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ZZ9A9VouOK_OSLVXfoyx7FwkHUyPcCisS0tVAPtg=s32-rw","Aster","June 2, 2020","This is a totally amazing app all around and I'm using it everyday, and the UI is phenomenal, but can we please get a fix for the timer page? The buttons are too close to each other, the pause/resume button has basically stuck below the circular time progress. Sorry but as a designer it irritates me a lot, if we get a fix for that it would be the best app ever for me.","9 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8xCAtvREqB5oplFS7H3FDwlKnCwid-81MLGtSgJQ=s32-rw","sahana s.","February 12, 2021","This app is probably the best one out there. It is sooo soo helpful to keep on task and be productive. I love the timer option that includes white noise. I usually use the timer and white noise while working and it helps me focus sooo much. If I could, I would rate this app a 10/5. But, I can't. I recommended it to all the fellow users out there looking for a great app you help with productivity. ⭐⭐⭐⭐⭐","42 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-0YR3Cs1MVuLQkxST2z5v8VH2Gc6OHYH_BVtfrVw=s32-rw","Axo","April 26, 2022","super nice and easy to use, but it doesn't appear to have an alarm function? I find myself going over the allotted time constantly because the app won't give any indication it's done despite having notifications and vibrations on. There's also no way to undo accidentally finishing a task, sad because this is by far the best looking and feeling study timer app.","7 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_8U_QPrVF20HTT9spVnEu_Iyf8wD5qlplRq858Ow=s32-rw","Bram Silue","August 3, 2020","Brilliant. Extremely intuitive, all the functionality you need, and an aesthetic masterpiece! The only well designed app on the entire store. So clean and pretty. Very very enjoyable to work with. For potential future features, I would love to see one or two clock sounds in the white noise list, for those who want that Pomodoro studious vibe. A low pitch slow clock sound would be incredible, and make this app worth 10 stars! Thank you for this perfect app!","8 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_3u0jjWAItbJSu4svxNlsi7D8hZMuVL0x2Xn9qNA=s32-rw","Maia Laskowska","April 8, 2021","Nice app for tracking process and building strong habits. I like the simple yet effective layout and colour scheme. Very motivating. Includes some gentle white noises for every situation. You can prioritize and colour code tasks. I really appreciate this app and the fact that it is free! One thing I would suggest is that you can recurr tasks so that you don't need to keep setting the same tasks so often. Overall, a great minimalistic productivity app I highly recommend!","4 people found this review helpful","Show review history"
