"
  Routinery: Selfcare/Routine","username","bp9Aid","review","AJTPZc","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu9kMun3Cu9I1cNsbb7dr_4GEqRu7Ai1zduL6Q2N-w=s32-rw","Srushti","November 11, 2022","Previously had signed up with a different account and things were great and even rated 5 stars. Signed up with a new email and the app since has been very buggy, lagging and glitchy, makes me loose patience. Tried the uninstall and reinstall but don't fix anything and problem still persists. Some updates do not show up on the screen and I have to wait for a few minutes before anything happens on the screen. Assumed it was a phone issue but it isn't. Please fix it. It's really annoying.","1 person found this review helpful","November 16, 2022","Hello, Srushti.
Thank you so much for your feedback and sorry for the inconvenience caused to you.

If you don't mind, is it okay if you tell us what the problem is by email?
(You can contact us through the 'Feedback' section of the Profile tab.)
We will gladly try to consider your feedback for our further app improvements.
Thank you!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9o4Rd6o6yc_NsB9fLGaQRdnJnLsi6c8KcbT7HcKB0=s32-rw","Parijat Mishra","September 10, 2020","Nicely designed app that does what it sets out to do! I've been following my set morning routine since the last 10 days without any issues, and the gentle nudging this app provides is extremely helpful. Would love it if there were an option to ""skip"" a routine for a day or two, so that it doesn't affect stats (eg. When I've taken a leave from work for a day and don't need to follow that routine).","51 people found this review helpful","September 14, 2020","Hello, Parijat Mishra
Thank you so much for your feedback👍
Your suggestions are so great!
We will reflect it in the planning.
Also we are constantly adding more features.
Please look forward to it and feel free to contact us with any suggestions!
Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8p0UuySsHQTPpgCfjhpqH0yOpJjhCmXwozFmjRlQ=s32-rw","Shreya Ghosh","July 10, 2020","Good app, with some annoying features. You can set up two routines with the free account and more with premium. You can customise the habits and icons and the timer end sound. I haven't used the behavioural environment and feedback features, so cannot comment on those. Would be rating it 5 stars if there was a way to disable the new annoying pop-ups if you want to skip a routine or move back a step.","12 people found this review helpful","July 11, 2020","Thank you for your feedback👍

We will add the features you suggested.

Please look forward to it and feel free to contact us with any suggestions!

Thank you😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8HaA9oEH7kH1Y87_UqTf9A41Nen7ay7mpLFDKI=s32-rw","Pasta-san","August 1, 2021","This app is saving my life! I could never stick to a routine before, without hating it (or being extremely inconsistent with it). It would be really nice if there was a way to automatically play music from my music player app once I begin my Morning routine. Another feature I'd love is - if there's a way to temporarily shuffle my routine habits- (while I'm running a routine) [like somedays, I just want to have my breakfast- before exercising & meditating]. Right now, the only way to do that is keep hitting skip (& restarting the routine, for skipped habits). A simple dragging option would be nice","25 people found this review helpful","August 1, 2021","Hello, Pasta-san.

Thank you so much for your feedback👍

More features will be updated on a continuous basis.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a/ALm5wu0q3kY6mIdcSH8d4gcywt5zKVsx-aQsffO1uKfn=s32-rw-mo","Chhaya Khattri","July 12, 2021","Hi, I used routinery after a month of inactivity and the sound notification of the habit timer is gone. The haptic vibration is there, but it is difficult to track the habit sequence without sound notification of timer up. I have an Android 10 and the latest version of routinery. Battery saver is disabled and notification are set on high priority. Rebooting the device didn't help either. Please fix this.","16 people found this review helpful","July 13, 2021","Hello, Chhaya Khattri.

Thank you for contacting us and sorry for the inconvenience.

We will find and fix the problem as quickly as possible.
If the problem persists, please contact us by email.

More features will be updated on a continuous basis.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-MMp31bmFCZtbwabx27q1Vv7Rnt4IEh1XVW8IWWlk=s32-rw","Puneet Madaan","June 9, 2020","Great app. I like that it tracks how long i have paused the timer. Maybe you should add that detail to the summary page. I gave you 4 stars because of only some small things which irked me. First, when paused,think about what is the most common next action, it should be resume right? Why is ""next task button"" in the middle at that time. And why does the play button look more like a next button.","25 people found this review helpful","June 10, 2020","Thank you for your feedback👍

We will add the features you suggested in many ways.

Please look forward to it and feel free to contact us with any suggestions!

Thank you😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_siLZEhzvyQ3-y5c9t1WYFju50WZFNgDVrVLt2wQ=s32-rw","Urushi 93","September 22, 2021","Addicted to this app! Has become necessity now! Some ideas I'd like to suggest are , having an opportunity to schedule routines on a monthly basis too ,like a calender , because sometimes some routines are to be done just once a month ( like decluttering of your room and so) Secondly, an option where premium members could share their routines with each other , that would be pretty cool !","21 people found this review helpful","September 23, 2021","Hello, Urushi 93.

Thank you so much for your feedback👍

Your suggestions are so great.
We will do our best to reflect your opinion.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-UfH9KML57hlIAwZsHKB2gChQB5adARSP1g6vz=s32-rw","Jen G.","November 16, 2022","This app is amazing, even with only being able to use two routines on the free version. It's very intuitive and I love the text on the main screen. However, I noticed that, when I complete my routines, the seed progress pop-up is in Spanish. But then everything else is in English. Can this be fixed, please?","1 person found this review helpful","November 18, 2022","Hello, Jen G.

Thank you for using Routinery and sorry for any inconvenience caused to you.
We're trying to fix it as quickly as possible, so please update to the next version of the app.

If the problem persists, please contact us again.


Thank you!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-7dr8jV7JQyazOAHirEB06mlfmKSJarsIUzNPkElg=s32-rw","Rachel Liebman","November 13, 2022","Great app! Feedback for Devs: I enjoy having my phone go into ""do not disturb"" (DnD) automatically in evenings, which turns off my ""system sounds"" (and I can only set an exception for ""Media"" sounds during DnD mode). Routinery sounds are considered ""system sounds"" by my phone, rather than ""media."" Therefore, I hear nothing when a routine item has ended for any of my routines during DnD hours. I have to turn off DnD for Routinery audio to work. Maybe it could be made a media sound?","","November 16, 2022","Hello, Rachel Liebman.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9VV2IV14GKPW3bbY8B01tsfADW1ITY_noracGJ5g=s32-rw","Sophie Burrows","September 12, 2022","Keeps me on track when I'm so easily distracted! I have ADHD so this app was recommended to me by my coach. The countdown function helps to remind me how much time I have left to improve time management, and the ability to skip or move things is simple. There is lots of functionality without subscribing, which is quite expensive imo. I don't think I've seen any ads, but if they are there they are minimal and unobtrusive.","24 people found this review helpful","September 14, 2022","Hello, Sophie Burrows.

Thank you so much for your feedback👍

More features will be updated continuously.

Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_S6_vDXuwPMfnUAjtBs2lAgwZFANCplqxRlAQP6g=s32-rw","Wade Barrett","September 10, 2022","The breathing feature is a neat idea; however, the timer should allow at least 5 min instead of 5 seconds (too short). Also, it would be great if a routine could be repeated on the same day without the progress of the previous session being erased; for my purpose of the app, I would use the same routine multiple times in a day. Finally, I would prefer a one-time purchase option for premium.","4 people found this review helpful","September 14, 2022","Hello, Wade Barrett.

Thank you so much for your feedback👍

We will gladly try to consider your suggestion for app improvements.
Please look forward to it and feel free to contact us with any suggestions!

Thank you 😍","Show review history"
