"
  Focus Plant - Pomodoro Forest","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_g-imxN1j2VzFA5d3HhO1SgZw_ZB8AKeQf3ibwMQ=s32-rw","Samruddhi Gajakosh","Show review history","February 7, 2022","This app is great for focus sessions & tracking your performance. But I have been facing some issues. Earlier it was smooth & all good. But from last 2 months or so, when I choose to watch ads a blank screen appears & nothing happens. I had reinstalled the app, nothing happened. But now, after half a month I tried again after recieving developer's reply. Now its working well. Thanks for resolving the problem. And I am increasing the rating. This is a must try app. & has a lot in free of cost too","305 people found this review helpful","February 6, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. Can you please try to reinstall the game or clear the app cache? Please let us know how it goes! Hope we can help with your study, focus and to do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_46BSOEwLlqWoxYunvy_uTL_QC54HP89omCv-Pdg=s32-rw","Isha Garg","","May 2, 2022","One of the best apps so far. It is an entire package of just what I wanted. Gamifying my focus sessions. Stopwatch. Timer. Pomodoro. Cute animation. And I can not pause the session however I want. I lose my rewards if I do not follow my planned schedule or if I open another app while the the sessions continue. This is great. Awesome. I am so glad I came across this. I recommend it to everyone who wishes not to stray off of their schedule. No popping of ads out of the blue.","110 people found this review helpful","May 5, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_selz0lRGXjOxm15tDDS5Bzw9K4QbDRbF1rmaiOQ=s32-rw","Kim JSD","","September 28, 2022","Very new but a little overwhelming at first. Seems like there are plants and there are collectible cards of non-plants. Love the idea and graphics decent, ads totes optional so far. I'll give it a few more days and report back. One really annoying thing is you can't water all your raindrops at once. In level 1 plants, very irritating. The focus part itself and sounds are great!","73 people found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu92vlfKFwoXr-zIbj9flE-m1xzTaEc2jaTdugz9=s32-rw","A Howitt","","November 2, 2022","I was looking for a simple and fun way to time my pomodoro writing sessions for NaNoWriMo and this looks like the perfect tool. I am not going to buy any extras, so I hope the game keeps my interest in the free version and doesn't become too repetitive.","2 people found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu2t7OG4uqqdy4wVL-h4XlJnuhYyT4bbg7S0umJM=s32-rw-mo","Emma H","","October 23, 2022","So far, so good, cute app, love the adjustments you can alter when studying. A little bit of work to figure out if you're like me and click through the tutorial. But absolutely worth it! I've been on the game for atleast 20minutes straight just growing my plants","6 people found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9DP_J4z0dtnLOnRNqXRzknHH1xMtGA4F_W5XpuTw=s32-rw","Mohammad Mahdi Rostamiani","","October 22, 2022","Attention: This game is addictive itself! If you are addicted to mobile games, this app can help at first, but you will end up addicted to this game. Because there is a lot of things you can do other than focusing and they're more fun. I found myself watching ads over and over foy hours to raise my tree to level three 😢","1 person found this review helpful","November 12, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. Focus Plant is designed for people who struggle to focus with existing apps like Forest. If you like a simpler focus game, please give our other app: 'Striving' a try! Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8VRL7n0AE9y-gvilniCuHD2EZwQgE47uWzbZAsXA=s32-rw","Cynni","","November 3, 2022","Super cute and great alternative to F*rest! It was a working timer with notifications, and a fun planting system to motivate you. There are ads but you only see them if you want to get extra perks, otherwise they don't appear at all. Love it","5 people found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a/ALm5wu3JaR952XG5o7yhIEAus9ZRWHE0YUlsf7Vpkr5D=s32-rw-mo","Lee Lamont","","November 3, 2022","Been using it for 2 days now, it's been really helpful for managing life around mental/physical health conditions, it's already genuinely improved my life a lot. One small suggestion/request that I have is for the ""history"" section. It's really helpful to be able to see the data laid out in the donut-chart, but I'd love to be able to easily see how much time was spent for each different ""tag"", instead of just a percentage. Great app, Cheers.","10 people found this review helpful","November 12, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. If you have any more feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8C-7dvyWlsVCEeRKSHo5nIEzjHyQcbqpNkeX9-=s32-rw","Samantha Heath","","September 27, 2022","This app helped me so much. I have a super short attention span and an awful habit of picking up my phone and getting distracted when working from home. Being able to set my own focus time and the reward of watering my little plant friends has helped my focus infinitely!","1 person found this review helpful","November 15, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8dzyvQXJ6dVhikyzcUXMT8zDg053Z53S2TsUmv5g=s32-rw","Dhanya 1E3","","September 24, 2022","This is a great alternative to forest and is much more fun. However, id like to recommend some features that will further enhance this app. 1. More types of trees with many colours like cherry blossoms for more fun 2. A more detailed statistical summary with ability to select with subject you are studying 3. More types of ambience sound","1 person found this review helpful","November 15, 2022","Hi, thank you for trying Focus Plant - pomodoro study timer to grow forest and flora. We'll discuss your suggestion. BTW you can purchase more white-noise in the Market with sunshine. Hope we can help with your study, productivity and to-do!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9TU0goQMHaDFrqCVK7aghAgUr6WhD2mURBIAzhOHQ=s32-rw","Elif","","October 20, 2022","I absolutely love this app. I would've never thought that I'd be able to concentrate on maths for more than half an hour at once but thanks to this app I made it, even FAR more than that. I think that I'm so focused because right now the app is pretty new to me and that starting motivation is there, but I hope that I'll keep going. The plants are super cute and it's nice to make them grow by focusing. My main motivations are achievement and that you fail the session if opening apps for too long.","11 people found this review helpful","November 12, 2022","Hi, thank you for using Focus Plant - pomodoro study timer to grow forest and flora. If you have any feedback/suggestions, please leave a message on our forum (https://forum.shikudo.com/c/focus) or join our discord channel (https://discord.com/invite/QmgDXzT). Hope we can help with your study, productivity and to-do!"
